explanation,text
Euphemism for going to the lavatory.,Visit the ladies' room
The German phrase 'vorsprung durch technik' is usually translated into English as 'progress through technology'. ,Vorsprung Durch Technik
"To be released from a criminal charge without punishment, or not receive the expected or deserved punishment. ",Walk free
To 'walk the walk' is to back up one's talk with action. ,Walk the walk
"'Walking the plank' was a form of naval execution in which victims were forced to walk, often blindfold and with hands tied, off a plank of wood and into the sea.",Walk the plank
A walkie-talkie is a  portable radio transmitter and receiver used for two-way communication.,Walkie-talkie
"There are many sources for the phrases and sayings that colour our language. One important source is the Bible, from which we get 'by the skin of your teeth', 'from strength to strength' and many more. Whether we view these as English phrases is debatable as the first English translation of the Bible was a thousand years or more after the writing of the original biblical texts. Wycliffe's translation, circa 1392, is the first version that brought the Bible to the English-speaking world - apart from that small number of scholars who had read the previous Latin versions and discussed them in English. Whatever we think about the Englishness of translated biblical phrases even they pale next to the single most prolific coiner of English - Shakespeare. To use his own words from All's Well That Ends Well:",Walter Scott (phrases coined by) 
'Warts and all' means the whole thing; not concealing the less attractive parts.,Warts and all
"A photographer's instruction just before taking a picture, in order to make people smile.",Watch the birdie
The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,(A) watched pot never boils 
Instructions given to someone to observe a situation.,Watching brief
"To wave a red rag to a bull is to  deliberately provoke it. More generally, the expression denotes any deliberate action intended to bring about an adverse reaction. ",Wave a red rag to a bull
To wax poetic is to speak in an increasingly enthusiastic and poetic manner.,Wax lyrical
To wax poetic is to speak in an increasingly enthusiastic and poetic manner.,Wax poetic
"'We have become a grandmother' was UK
 Prime Minister Margaret Thatcher's statement to the press in 1989, on the
 birth of her first grandchild, Mark Thatcher's son Michael.",We are a grandmother
"'We are not amused' is a quotation, attributed to Queen Victoria.",We are not amused
"'We few, we happy few, we band of brothers' is one of the well-known lines from the rousing St. Crispin's Day Speech given by the king in Shakespeare's Henry V. ","We few, we happy few, we band of brothers"
To have been more wealthy or in better condition in former times.,We have seen better days
A threat of violence.,We know where you live
"The proverb 'A chain is only as strong as its weakest link' has a literal meaning, although the 'weakest link' referred to is figurative and usually applies to a person or technical feature rather than the link of an actual chain.",Weakest link - A chain is only as strong as its 
Be in charge.,Wear the trousers
To wear your heart on your sleeve is to display your emotions openly.,Wear your heart on your sleeve
Ambiguous or quibbling speech. ,Weasel words
A nursery euphemism for urine or urination.,Wee-wee
Wealthy - well provided for.,Well heeled
To be 'well read' is to be erudite and literate. ,Well read
Naive.,Wet behind the ears
A person or thing that says or does something to impinge on other people's enjoyment.,Wet blanket
"The phrase 'what a palaver' means 'what a lot of fuss'. It is frequently used in contexts where the fuss is long-winded and out of proportion to whatever trifle caused it, leading to an amended meaning, listed in the OED as 'a fuss, a commotion; a tedious or unnecessarily drawn-out process, a rigmarole'.",What a palaver
"The literal reading of this speech by Hamlet is that 'man is a supreme creature'. However, as with many of Shakespeare's more famous speeches, this is open to interpretation and scholars disagree. Even the punctuation is disputed. The placement of the exclamation marks (or the commas as in some versions) changes the meaning entrely. It could be that either the angels or the gods that are being said to be admirable, for instance. Early manuscripts vary and so Shakespeare's intention isn't entirely clear.",What a piece of work is man
This rhetorical question is asked of someone who has done something stupid or outrageous. The point being that it is quite obvious what the person in question is like.,What are you like?
"The expression 'what football is all about' originated in the UK and began appearing commonly in newspaper there around 1970. Being of UK origin it should be said that the 'football' being referred to is what Americans like to call soccer and not what they call football, which all right-minded people refer to as American Football.",What football is all about
'What God has joined together let no man put asunder' is the part of the Christian marriage ceremony that states God's authority over man.,What God has joined together let no man put asunder
"I am plainly saying no, and I mean just that.",What part of no don't you understand?
'What the dickens...' is an intensified form of  simple 'what...?'  questions. ,What the dickens
A computer screen display which appears on screen as it will be seen when printed on paper.,What you see is what you get - wysiwyg
"The saying 'A rose by any other name would smell as sweet' means that what matters is what something is, not what it is called.",What's in a name? That which we call a rose by any other name would smell as sweet
