company,slogan
In trouble.,In the cart
Carlsberg Sport Drink,Sport inside.
"The American expression 'Six ways to Sunday' is used with more than one meaning. Most people use it to mean 'in every possible way, with every  alternative examined', as in ""we checked him out six ways to Sunday before offering him that big loan"". Others mean 'in every possible direction', as in ""my necklace broke and  the beads went six ways to Sunday"".",Six ways to Sunday
The Marketing Company in New Albany,Brand marketing that puts your vision into action!
"Carter Drywall Services, repair specialist",Holes made whole.
Ed Sawyer Drywall,"Professional, courteous and honest services!"
"PDSA, veterinary charity",For pets in need of vets.
Smart Balance buttery spreads,Put a little love in your heart.
"Splash, carwash chain, United States",Splash. Love your car... Drive it clean.
"JW Marriott, luxury hotels",Life is beautiful.
"Marques De Riscal brand, Spain",Marques De Riscal. Not only with fish
"Ballygowan, Irish brand of mineral water",Ballygowan. Bodies never lie.
Hershey's chocolate bar,One of the all-time greats.
Forum Dentistry in St. Leonards,Care in an environment of excellence.
Hype Energy,The energy of the party.
Continental Airlines,We really move our tails for you
"Kokanee Glacier Beer brand, Canada",Pure Gold. From the heart of the Kootenays
"A club sandwich is a sandwich of bread, sometimes toasted, and several other ingredients, often chicken or turkey,  bacon, lettuce, tomato, and mayonnaise. The sandwiches are usually cut into halves or quarters to form small triangles.",Club sandwich
"La Trobe University in Melbourne, Australia",Thinking aloud.
"John Cook School of Business in St. Louis, Missouri",Educating business leaders since 1910.
Wall's ice cream,Stop me and buy one.
Anyone learning English has a hard job on their hands. Lots of words don't sound the way you might expect from their spelling and lots of idiomatic phrases don't seem  to make much sense.,Phrases that people get wrong
Columbus eggs,A simple way to a healthier heart.
Marvelus artesian mineral water from Florida,Marvelus. Uniquely American.
"Workrite Uniform Company, provider of flame-resistant clothing",Prepare for the worst. Wear the best.
Gosford Grooming,Qualified personal care for all breeds.
AA Fitness Studio in Dumfries,You too can be fighting fit.
IdeaTranslate in Moscow,We understand the texts we work on.
Purple Public Relations Agency in London,"Don't get blue, get Purple."
Timotei Shampoo,Let nature go to your head.
Nant-y-Ffin Hotel & Motel,A few miles from everywhere!
Courage Beer,It's what your right arm's for.
Affectionate term for a friend.,My old china
"To threaten to 'have someone's guts for garters' is to state the intention to do them serious harm. The threat isn't an actual and literal one and the overstatement of reprisal is meant to indicate humour, but with an indication that the threatened person has done something which has been something of an annoyance.",Guts for garters
"To 'fly by the seat of your pants' is to decide a course of action as you go along, using your own initiative and perceptions rather than a predetermined plan or mechanical aids.",Fly by the seat of one's pants
Novastar Prep,Learn with confidence.
"I too, like someone seen to have suffered misfortune, might have suffered a similar fate, but for God's mercy. ","There but for the grace of God, go I"
"Hospice Georgina in Ontario, Canada",Sharing the caring.
"Santa Maria Town Center, shopping center in Santa Maria, California",Transforming shopping into an experience.
"Cortana Mall in Baton Rouge, Louisiana",Rediscover a great shopping tradition.
"LSTM, Liverpool School of Tropical Medicine",A culture of excellence.
Progresso canned soups,Make it Progresso. Or make it yourself.
"Jumex, fruit juice range",Jumex. As intense as you are
"The name of a salad typically consisting of cos lettuce, garlic, croutons and anchovies, dressed with olive oil, lemon juice and parmesan cheese.",Caesar Salad
TypingPandas Copywriting Services,Ink-up your business.
"'Without let or hindrance' means freely, without any impediment.",Let or hindrance 
"Studio S, graphic design and printing",Creative and practical.
Midwest snips and other hand tools,The right tools since 1945.
"Cultivate Design, studio in Adelaide",Down-to-earth visual communication.
"The proverb 'once bitten, twice shy' suggests that, when someone is hurt doing something, they are wary of doing it again for fear of being hurt a second time.","Once bitten, twice shy"
"Bloomingdale, limousine service in Toronto",The luxury you deserve.
"Arena Bodylift, body shaping swimsuits",Beauty in all its forms.
"Touch Point, remedial massage therapy",Making you feel better again.
Blavod black vodka,Blavod. Outrageously Smooth.
"Deeks, management consultancy in London",Making businesses better.
"Thomson Al Fresco, camping tour operator",Out of the ordinary.
Rogers Moving Services in Chicago,Moving made simple.
Nothing is irreversible until the final act is played out. ,It ain't over till the fat lady sings
Pedigree brand,Dog's rule
Al Ain drinking water in the UAE,Refresh your moments!
Humber College in Toronto,We are Humber.
When written and pronounced as Mutt 'n' Jeff this has the meaning deaf. It is also a slang term for the 'good cop/bad cop' method of police interrogation or any other pair of people or items which are contrasting in size or nature. ,Mutt and Jeff
Egis Pharmaceuticals in Hungary,Health. Quality. Life.
"To be caught red-handed is to be caught in the act of committing a misdemeanour, with the evidence there for all to see. ",Caught red-handed
Spruce Grove Veterinary Clinic,Treating pets the way we like to be treated.
"Confit French Bakery in Camp Hill, Pennsylvania","Always fresh, always French."
Avonmore fresh soup,Homemade without the hard labour.
"Mustang , German brand",Mustang Jeans never die. They just fade away.
"Caspia, marketing and business development consultancy in London",Dedicated to helping you build your business.
Arnold Clark Car Dealer,Keeping you on the move.
"Mellelo Coffee Roasters in Medford, Oregon",We're big on taste.
"New Jersey Transit, public transportation corporation",The way to go.
Crystal Flower Shop,Go ahead... be romantic!
Pilates Platinum in California,A fresh approach to fitness.
Lady Borden ice cream,Extra good because it's made with extra cream!
Hyde Park Bakery in Adelaide,We're makin' it fresh!
Pascal's Catering Company in Austin,European influence with an Austin flair.
"Cinnamons Bakery in Austin, Texas","The taste of France in Austin, Texas."
Nissan Motor's cars,Just wait you drive it.
"Aquafresh, brand of toothpaste & oral care products",Aquafresh. Amazing.
"Aston Business School, UK",Inspiring you to be an inspiration.
"A cheap publication, containing melodramas written in a colourful and down-market style.",Penny dreadful
You are unpopular.,Your name is mud
La Vie De Luc mineral water,La Vie De Luc. Straight from the source.
Red Funnel Ferry Company,The Isle of Wight specialist.
Tallahassee Memorial Hospital,Your hospital for life.
"Win easily, with little effort.",Hands down
L'Oreal Studio Line Hot & Straight Spray,"It's straight, it's hot and it lasts."
Incheon Airport in South Korea,The winged city.
Maxwell House coffee,Say good morning to a good day.
Go away - scram.,Twenty three skidoo
"Chartwell School, Seaside, USA, educates children with language-related learning variations, including dyslexia",Chartwell. Because not all great minds think alike.
Hebridean Island Cruises,The finest hotels afloat.
"To abscond, or depart quickly.",Shoot through
Cadbury ice cream,The essential ice cream experience.
"Bob’s Bunk House, hostel and guest house in Johannesburg",A home for travellers and backpackers.
El Mayor Tequila,A handmade legacy.
"Bite Footwear brand for specific activities: golf, fishing…",Bite. Equip Your Feet.
Earhart Roofing Company in Anchorage,Big enough to serve you. Small enough to care!
"Daily Mirror, Britain's tabloid newspaper",Forward with Britain
Send away or abandon. ,Whistle down the wind
Arla Apetina feta cheese,Because feta can be so much better.
Conestoga College in Canada,Connect life and learning.
"The Cheesecake Shop, franchise cake retail chain in Australia and NZ",Made with love.
"A
sure test, giving an incontestable result.",Acid test
Russell Vale Animal Clinic,"For happy, healthy pets... Always."
"Ariat, boots for equestrian lifestyle",Ariat. Performance Is In Our Sole.
Elmwood Pet Supplies in Buffalo,For pets and their people!
"Cumbria Cruises, cruise agent, UK",We live it. You'll love it.
It was unintelligible to me. ,All Greek to me
"Carlton Cakery in San Antonio, Texas",Everyone is happy with a cupcake in their hand.
"Designs to You, corporate uniform supplier in Australia",Corporate wear with a difference.
Nescafe Cappuccino,Great Cappuccino just came home.
Maru Swimwear,Dive into colour.
Santa Margherita Italian brand,Great Wines for Great Encounters.
Mentadent P,A firm foundation for healthy teeth.
"The proverb 'a journey of a thousand miles begins with a single step' puts forward the notion that, however difficult a task is, you can only complete it if you first start it.",A journey of a thousand miles begins with a single step
"Yukery fruit juice, Venezuela",Yukery. Fruit wherever you put it
Lipton tea,The brisk tea.
Redbourn Physiotherapy Clinic,Fit for life. Fit for sport.
Oklahoma City University School of Law,Contributions to our society.
Confidence gained from being drunk.,Dutch courage
Lose your wits.,Lose your marbles
"The Retreat Health & Beauty Salon and Aesthetic Clinic in Eastbourne, England",Discover the beauty within.
Farmers Insurance,Gets you back where you belong.
Lufthansa,Lufthansa. There's no better way to fly.
The Mail On Sunday newspaper,"A newspaper, not a snooze paper"
"Blade Creative Branding, agency in Toronto",Cut through.
"WriteXpression, copywriting and editorial services",Words that work.
Torrens Road Veterinary Clinic,We care as much as you do.
Children's Hospital & Research Center in Oakland,Undivided attention. Unsurpassed care.
"An extreme standard of comparison; for example, ""It rained like billy-o; we were all soaked through."". ",Billy-o - Like 
"Chicken Licken, fried chicken fast food restaurants",Soul food.
"Farmers department stores and home-centres, New Zealand",Farmers Your Store
Temporary hoarseness caused by phlegm in the back of the throat.,Frog in the throat - A
Walmley Dental Practice in England,Care for your smile.
"Buddha Beachwear, brand of beach flip flops",Worldwide beach culture.
"Almarai butter, Saudi Arabia",Almarai. The vital ingredient.
"Mont Tremblant, resort for skiing and snowboarding in Quebec",Take me to the top.
Olmeca Tequila,Awaken the mystery.
A film with characterization and story-lines that appeal especially to women. ,Chick flick
